player,nation,pos,squad,born,mp,starts,min,gls,ast,pk,pkatt,crdy,crdr,gls_per_90,ast_per_90,g_plus_a_per_90,g_minus_pk_per_90,year,league
Robin Knoche,de GER,DF,Wolfsburg,1992,11,8,792,0,0,0,0,1,1,0,0,0,0,2012,German
Toni Kroos,de GER,MF,Bayern Munich,1990,24,23,1915,6,8,0,0,2,0,0.28,0.38,0.66,0.28,2012,German
Sotirios Kyrgiakos,gr GRE,DF,Wolfsburg,1979,2,1,129,0,0,0,0,0,0,0,0,0,0,2012,German
Philipp Lahm,de GER,"DF,MF",Bayern Munich,1983,29,28,2501,0,11,0,0,0,0,0,0.4,0.4,0,2012,German
Sr?an Laki?,hr CRO,FW,Wolfsburg,1983,8,1,149,0,0,0,0,0,0,0,0,0,0,2012,German
Mitchell Langerak,au AUS,GK,Dortmund,1988,3,3,270,0,0,0,0,1,0,0,0,0,0,2012,German
Moritz Leitner,de GER,MF,Dortmund,1992,25,8,990,0,2,0,0,1,0,0,0.18,0.18,0,2012,German
Robert Lewandowski,pl POL,FW,Dortmund,1988,31,29,2595,24,5,1,2,2,1,0.83,0.17,1.01,0.8,2012,German
Andreas Ludwig,de GER,MF,Hoffenheim,1990,5,0,116,0,0,0,0,0,0,0,0,0,0,2012,German
Alexander Madlung,de GER,DF,Wolfsburg,1982,15,6,620,2,0,0,0,1,1,0.29,0,0.29,0.29,2012,German
Mario Mandžuki?,hr CRO,"FW,MF",Bayern Munich,1986,24,22,1725,15,1,0,0,2,0,0.78,0.05,0.83,0.78,2012,German
Javi Martínez,es ESP,"DF,MF",Bayern Munich,1988,26,19,1747,3,3,0,0,3,0,0.15,0.15,0.31,0.15,2012,German
Slobodan Medojevi?,rs SRB,MF,Wolfsburg,1990,8,6,555,0,1,0,0,1,0,0,0.16,0.16,0,2012,German
Thomas Müller,de GER,"FW,MF",Bayern Munich,1989,28,25,2091,13,11,2,2,0,0,0.56,0.47,1.03,0.47,2012,German
Naldo,br BRA,DF,Wolfsburg,1982,31,31,2706,6,0,0,0,8,0,0.2,0,0.2,0.2,2012,German
Manuel Neuer,de GER,GK,Bayern Munich,1986,31,31,2790,0,0,0,0,2,0,0,0,0,0,2012,German
Patrick Ochs,de GER,"DF,MF",Hoffenheim,1984,12,8,759,0,0,0,0,3,0,0,0,0,0,2012,German
Ivica Oli?,hr CRO,FW,Wolfsburg,1979,32,28,2417,9,6,0,0,4,0,0.34,0.22,0.56,0.34,2012,German
Yohandry Orozco,ve VEN,"FW,MF",Wolfsburg,1991,2,1,126,0,1,0,0,1,0,0,0.71,0.71,0,2012,German
Ivan Periši?,hr CRO,"FW,MF",Wolfsburg,1989,11,7,542,2,2,0,0,1,0,0.33,0.33,0.66,0.33,2012,German
Ivan Periši?,hr CRO,"FW,MF",Dortmund,1989,14,5,511,2,0,0,0,1,0,0.35,0,0.35,0.35,2012,German
Lukasz Piszczek,pl POL,"DF,MF",Dortmund,1985,29,28,2531,2,8,0,0,1,0,0.07,0.28,0.36,0.07,2012,German
Claudio Pizarro,pe PER,FW,Bayern Munich,1978,20,7,754,6,7,0,0,0,0,0.72,0.84,1.55,0.72,2012,German
Emanuel Pogatetz,at AUT,DF,Wolfsburg,1983,8,8,643,0,0,0,0,1,0,0,0,0,0,2012,German
Jan Polák,cz CZE,MF,Wolfsburg,1981,27,26,2207,1,2,0,0,4,0,0.04,0.08,0.12,0.04,2012,German
Eugen Polanski,pl POL,MF,Hoffenheim,1986,11,9,744,0,1,0,0,3,1,0,0.12,0.12,0,2012,German
Rafinha,br BRA,DF,Bayern Munich,1985,13,6,574,2,1,0,0,2,1,0.31,0.16,0.47,0.31,2012,German
Marco Reus,de GER,"FW,MF",Dortmund,1989,32,27,2338,14,9,0,0,4,0,0.54,0.35,0.89,0.54,2012,German
Franck Ribéry,fr FRA,"FW,MF",Bayern Munich,1983,27,24,2110,10,14,0,0,2,0,0.43,0.6,1.02,0.43,2012,German
Arjen Robben,nl NED,"FW,MF",Bayern Munich,1984,16,11,981,5,5,0,0,0,0,0.46,0.46,0.92,0.46,2012,German
Ricardo Rodríguez,ch SUI,DF,Wolfsburg,1992,24,19,1712,0,4,0,0,1,0,0,0.21,0.21,0,2012,German
Sebastian Rudy,de GER,MF,Hoffenheim,1990,23,21,1759,0,3,0,0,7,0,0,0.15,0.15,0,2012,German
Nuri ?ahin,tr TUR,MF,Dortmund,1988,15,9,898,3,3,0,0,0,0,0.3,0.3,0.6,0.3,2012,German
Sejad Salihovi?,ba BIH,"DF,MF",Hoffenheim,1984,20,14,1272,7,2,4,4,3,2,0.5,0.14,0.64,0.21,2012,German
Felipe Santana,br BRA,DF,Dortmund,1986,21,15,1459,1,0,0,0,3,0,0.06,0,0.06,0.06,2012,German
Marcel Schäfer,de GER,"DF,MF",Wolfsburg,1984,31,22,1996,0,2,0,0,0,0,0,0.09,0.09,0,2012,German
Julian Schieber,de GER,FW,Dortmund,1989,23,6,800,3,0,0,0,4,1,0.34,0,0.34,0.34,2012,German
Sven Schipplock,de GER,FW,Hoffenheim,1988,16,7,567,5,1,0,0,4,0,0.79,0.16,0.95,0.79,2012,German
Marcel Schmelzer,de GER,DF,Dortmund,1988,29,29,2488,0,1,0,0,3,1,0,0.04,0.04,0,2012,German
Patrick Schorr,de GER,"DF,MF",Hoffenheim,1994,1,0,24,0,0,0,0,0,0,0,0,0,0,2012,German
Stephan Schröck,ph PHI,"DF,MF",Hoffenheim,1986,10,6,485,0,0,0,0,4,1,0,0,0,0,2012,German
Bastian Schweinsteiger,de GER,"DF,MF",Bayern Munich,1984,28,27,2352,7,3,0,0,4,0,0.27,0.11,0.38,0.27,2012,German
Xherdan Shaqiri,ch SUI,"FW,MF",Bayern Munich,1991,26,13,1376,4,5,0,0,1,0,0.26,0.33,0.59,0.26,2012,German
Tom Starke,de GER,GK,Bayern Munich,1981,3,3,270,0,0,0,0,0,0,0,0,0,0,2012,German
Denis Streker,de GER,MF,Hoffenheim,1991,4,2,232,0,0,0,0,0,0,0,0,0,0,2012,German
Neven Suboti?,rs SRB,DF,Dortmund,1988,25,25,2241,3,0,0,0,4,0,0.12,0,0.12,0.12,2012,German
Niklas Süle,de GER,DF,Hoffenheim,1995,1,1,80,0,0,0,0,0,0,0,0,0,0,2012,German
Stefan Thesker,de GER,DF,Hoffenheim,1991,4,3,266,0,0,0,0,0,0,0,0,0,0,2012,German
Christian Träsch,de GER,"DF,MF",Wolfsburg,1987,17,11,956,0,0,0,0,3,0,0,0,0,0,2012,German
Anatoliy Tymoshchuk,ua UKR,"DF,MF",Bayern Munich,1979,16,5,589,1,0,0,0,2,0,0.15,0,0.15,0.15,2012,German
Takashi Usami,jp JPN,"FW,MF",Hoffenheim,1992,20,15,1257,2,1,0,0,2,0,0.14,0.07,0.21,0.14,2012,German
Daniel Van Buyten,be BEL,DF,Bayern Munich,1978,13,11,1067,0,0,0,0,0,0,0,0,0,0,2012,German
Jannik Vestergaard,dk DEN,DF,Hoffenheim,1992,16,14,1338,0,0,0,0,6,0,0,0,0,0,2012,German
Vieirinha,pt POR,"DF,FW",Wolfsburg,1986,27,22,1964,1,4,0,0,2,0,0.05,0.18,0.23,0.05,2012,German
Kevin Volland,de GER,"FW,MF",Hoffenheim,1992,34,31,2686,6,8,0,0,4,0,0.2,0.27,0.47,0.2,2012,German
Boris Vuk?evi?,de GER,MF,Hoffenheim,1990,5,4,357,1,0,0,0,0,0,0.25,0,0.25,0.25,2012,German
Roman Weidenfeller,de GER,GK,Dortmund,1980,31,31,2781,0,0,0,0,1,1,0,0,0,0,2012,German
Tobias Weis,de GER,MF,Hoffenheim,1985,18,17,1371,2,2,0,0,4,0,0.13,0.13,0.26,0.13,2012,German
Tim Wiese,de GER,GK,Hoffenheim,1981,10,10,900,0,0,0,0,0,0,0,0,0,0,2012,German
Danny Williams,us USA,"DF,MF",Hoffenheim,1989,21,17,1544,1,1,0,0,8,0,0.06,0.06,0.12,0.06,2012,German
Ignazio Abate,it ITA,"DF,MF",Milan,1986,27,25,2291,0,2,0,0,2,0,0,0.08,0.08,0,2012,Italian
Christian Abbiati,it ITA,GK,Milan,1977,28,28,2444,0,0,0,0,2,0,0,0,0,0,2012,Italian
Francesco Acerbi,it ITA,DF,Milan,1988,6,5,473,0,0,0,0,0,0,0,0,0,0,2012,Italian
Ricky Álvarez,ar ARG,MF,Inter,1988,23,12,1182,5,1,1,2,0,0,0.38,0.08,0.46,0.3,2012,Italian
Massimo Ambrosini,it ITA,MF,Milan,1977,20,16,1237,0,1,0,0,10,1,0,0.07,0.07,0,2012,Italian
Marco Amelia,it ITA,GK,Milan,1982,11,10,976,0,0,0,0,2,0,0,0,0,0,2012,Italian
Nicolas Anelka,fr FRA,FW,Juventus,1979,2,0,43,0,0,0,0,0,0,0,0,0,0,2012,Italian
Luca Antonini,it ITA,"DF,MF",Milan,1982,6,5,422,0,0,0,0,1,0,0,0,0,0,2012,Italian
Kwadwo Asamoah,gh GHA,"DF,MF",Juventus,1988,27,22,1972,2,6,0,0,1,0,0.09,0.27,0.37,0.09,2012,Italian
Mario Balotelli,it ITA,FW,Milan,1990,13,12,1146,12,0,6,6,6,0,0.94,0,0.94,0.47,2012,Italian
Federico Balzaretti,it ITA,DF,Roma,1981,27,24,2005,0,2,0,0,5,1,0,0.09,0.09,0,2012,Italian
Andrea Barzagli,it ITA,DF,Juventus,1981,34,34,2955,0,1,0,0,5,0,0,0.03,0.03,0,2012,Italian
Stefano Beltrame,it ITA,"FW,MF",Juventus,1993,1,0,9,0,0,0,0,0,0,0,0,0,0,2012,Italian
Marco Benassi,it ITA,MF,Inter,1994,6,3,263,0,0,0,0,1,0,0,0,0,0,2012,Italian
Nicklas Bendtner,dk DEN,FW,Juventus,1988,9,2,346,0,0,0,0,0,0,0,0,0,0,2012,Italian
Kevin-Prince Boateng,gh GHA,"FW,MF",Milan,1987,29,25,2122,2,4,0,0,5,2,0.08,0.17,0.25,0.08,2012,Italian
Daniele Bonera,it ITA,DF,Milan,1981,13,13,1129,0,0,0,0,5,0,0,0,0,0,2012,Italian
Leonardo Bonucci,it ITA,DF,Juventus,1987,33,33,2960,0,0,0,0,10,0,0,0,0,0,2012,Italian
Michael Bradley,us USA,MF,Roma,1987,30,24,2201,1,2,0,0,5,0,0.04,0.08,0.12,0.04,2012,Italian
Gianluigi Buffon,it ITA,GK,Juventus,1978,32,32,2880,0,0,0,0,0,0,0,0,0,0,2012,Italian
Nicolás Burdisso,ar ARG,DF,Roma,1981,25,25,2250,1,0,0,0,9,0,0.04,0,0.04,0.04,2012,Italian
Martín Cáceres,uy URU,DF,Juventus,1987,18,12,1218,1,0,0,0,1,0,0.07,0,0.07,0.07,2012,Italian
Esteban Cambiasso,ar ARG,MF,Inter,1980,33,26,2409,3,5,0,0,3,1,0.11,0.19,0.3,0.11,2012,Italian
Antonio Cassano,it ITA,FW,Inter,1982,28,23,1900,7,8,0,0,0,0,0.33,0.38,0.71,0.33,2012,Italian
Leandro Castán,br BRA,DF,Roma,1986,30,30,2683,1,0,0,0,6,0,0.03,0,0.03,0.03,2012,Italian
Luca Castellazzi,it ITA,GK,Inter,1975,2,2,180,0,0,0,0,0,0,0,0,0,0,2012,Italian
Giorgio Chiellini,it ITA,DF,Juventus,1984,24,23,2038,1,2,0,0,5,0,0.04,0.09,0.13,0.04,2012,Italian
Cristian Chivu,ro ROU,DF,Inter,1980,10,7,598,1,1,0,0,2,1,0.15,0.15,0.3,0.15,2012,Italian
Kévin Constant,gn GUI,MF,Milan,1987,25,20,1874,0,1,0,0,3,1,0,0.05,0.05,0,2012,Italian
Philippe Coutinho,br BRA,"FW,MF",Inter,1992,10,3,311,1,0,0,0,0,0,0.29,0,0.29,0.29,2012,Italian
Paolo De Ceglie,it ITA,DF,Juventus,1986,14,12,870,0,0,0,0,3,0,0,0,0,0,2012,Italian
Daniele De Rossi,it ITA,"DF,MF",Roma,1983,25,21,1755,0,5,0,0,6,1,0,0.26,0.26,0,2012,Italian
Mattia De Sciglio,it ITA,DF,Milan,1992,27,25,2226,0,2,0,0,3,0,0,0.08,0.08,0,2012,Italian
Mattia Destro,it ITA,FW,Roma,1991,21,11,1109,6,1,0,0,6,1,0.49,0.08,0.57,0.49,2012,Italian
Dodô,br BRA,DF,Roma,1992,11,7,631,0,0,0,0,1,0,0,0,0,0,2012,Italian
Alfred Duncan,gh GHA,MF,Inter,1993,3,0,28,0,0,0,0,0,0,0,0,0,0,2012,Italian
Urby Emanuelson,nl NED,"DF,FW",Milan,1986,12,8,738,1,3,0,0,1,0,0.12,0.37,0.49,0.12,2012,Italian
Mathieu Flamini,fr FRA,MF,Milan,1984,18,15,1289,4,1,0,0,3,1,0.28,0.07,0.35,0.28,2012,Italian
Alessandro Florenzi,it ITA,"DF,FW",Roma,1991,36,25,2145,3,4,0,0,3,0,0.13,0.17,0.29,0.13,2012,Italian
Francesco Forte,it ITA,FW,Inter,1993,1,0,5,0,0,0,0,0,0,0,0,0,0,2012,Italian
Walter Gargano,uy URU,MF,Inter,1984,28,24,2109,0,2,0,0,8,0,0,0.09,0.09,0,2012,Italian
Luca Garritano,it ITA,"FW,MF",Inter,1994,3,0,46,0,0,0,0,0,0,0,0,0,0,2012,Italian
Emanuele Giaccherini,it ITA,"FW,MF",Juventus,1985,17,10,949,3,3,0,0,1,0,0.28,0.28,0.57,0.28,2012,Italian
Sebastian Giovinco,it ITA,"FW,MF",Juventus,1987,31,23,1953,7,6,1,1,4,0,0.32,0.28,0.6,0.28,2012,Italian
Mauro Goicoechea,uy URU,GK,Roma,1988,15,13,1260,0,0,0,0,1,0,0,0,0,0,2012,Italian
Fredy Guarín,co COL,MF,Inter,1986,32,26,2384,4,3,0,0,6,0,0.15,0.11,0.26,0.15,2012,Italian
Samir Handanovi?,si SVN,GK,Inter,1984,35,35,3150,0,0,0,0,4,0,0,0,0,0,2012,Italian
Mauricio Isla,cl CHI,"DF,MF",Juventus,1988,11,8,586,0,1,0,0,1,0,0,0.15,0.15,0,2012,Italian
Juan Jesus,br BRA,DF,Inter,1991,31,31,2697,1,1,0,0,14,1,0.03,0.03,0.07,0.03,2012,Italian
Nigel de Jong,nl NED,MF,Milan,1984,12,10,894,1,0,0,0,3,0,0.1,0,0.1,0.1,2012,Italian
Mateo Kova?i?,hr CRO,MF,Inter,1994,13,11,1026,0,1,0,0,2,0,0,0.09,0.09,0,2012,Italian
Bojan Krki?,es ESP,"FW,MF",Milan,1990,19,5,743,3,2,0,0,1,0,0.36,0.24,0.61,0.36,2012,Italian
Zdravko Kuzmanovi?,rs SRB,MF,Inter,1987,13,10,891,0,1,0,0,0,0,0,0.1,0.1,0,2012,Italian
Érik Lamela,ar ARG,"FW,MF",Roma,1992,33,30,2597,15,4,0,0,7,0,0.52,0.14,0.66,0.52,2012,Italian
Stephan Lichtsteiner,ch SUI,"DF,MF",Juventus,1984,28,25,2064,4,2,0,0,6,0,0.17,0.09,0.26,0.17,2012,Italian
Marko Livaja,hr CRO,"FW,MF",Inter,1993,6,1,111,0,0,0,0,0,0,0,0,0,0,2012,Italian
Bogdan Lobon?,ro ROU,GK,Roma,1978,5,5,405,0,0,0,0,0,0,0,0,0,0,2012,Italian
Nicolás López,uy URU,"FW,MF",Roma,1993,6,0,62,1,0,0,0,0,0,1.45,0,1.45,1.45,2012,Italian
Lúcio,br BRA,DF,Juventus,1978,1,1,90,0,0,0,0,0,0,0,0,0,0,2012,Italian
Claudio Marchisio,it ITA,MF,Juventus,1986,29,28,2470,6,2,0,0,4,0,0.22,0.07,0.29,0.22,2012,Italian
McDonald Mariga,ke KEN,MF,Inter,1987,1,0,10,0,0,0,0,0,0,0,0,0,0,2012,Italian
Marquinho,br BRA,"DF,MF",Roma,1986,26,11,1274,4,0,0,0,2,0,0.28,0,0.28,0.28,2012,Italian
Marquinhos,br BRA,"DF,MF",Roma,1994,26,22,2092,0,0,0,0,1,1,0,0,0,0,2012,Italian
Luca Marrone,it ITA,"DF,MF",Juventus,1990,10,8,756,0,0,0,0,0,0,0,0,0,0,2012,Italian
Alessandro Matri,it ITA,FW,Juventus,1984,22,10,1008,8,0,0,0,3,0,0.71,0,0.71,0.71,2012,Italian
Djamel Mesbah,dz ALG,"DF,MF",Milan,1984,1,1,90,0,0,0,0,0,0,0,0,0,0,2012,Italian
Philippe Mexès,fr FRA,DF,Milan,1982,25,25,2186,1,1,0,0,11,0,0.04,0.04,0.08,0.04,2012,Italian
Diego Milito,ar ARG,FW,Inter,1979,20,19,1577,9,2,3,3,0,0,0.51,0.11,0.63,0.34,2012,Italian
Riccardo Montolivo,it ITA,MF,Milan,1985,32,31,2698,4,2,0,0,6,0,0.13,0.07,0.2,0.13,2012,Italian
Jonathan Moreira,br BRA,DF,Inter,1986,8,8,567,0,1,0,0,1,0,0,0.16,0.16,0,2012,Italian
Gaby Mudingayi,be BEL,MF,Inter,1981,9,4,305,0,0,0,0,2,0,0,0,0,0,2012,Italian
Sulley Muntari,gh GHA,MF,Milan,1984,15,11,971,1,0,0,0,4,1,0.09,0,0.09,0.09,2012,Italian
Yuto Nagatomo,jp JPN,DF,Inter,1986,25,22,1930,0,3,0,0,2,1,0,0.14,0.14,0,2012,Italian
M'Baye Niang,sn SEN,"FW,MF",Milan,1994,20,9,873,0,1,0,0,3,0,0,0.1,0.1,0,2012,Italian
Antonio Nocerino,it ITA,MF,Milan,1985,26,20,1698,2,1,0,0,3,0,0.11,0.05,0.16,0.11,2012,Italian
Joel Obi,ng NGA,MF,Inter,1991,2,1,94,0,0,0,0,0,0,0,0,0,0,2012,Italian
Dani Osvaldo,it ITA,FW,Roma,1986,29,25,2315,16,2,2,3,6,1,0.62,0.08,0.7,0.54,2012,Italian
Juan Pablo Carrizo,ar ARG,GK,Inter,1984,1,1,90,0,0,0,0,0,0,0,0,0,0,2012,Italian
Simone Padoin,it ITA,"DF,MF",Juventus,1984,20,6,779,0,0,0,0,3,0,0,0,0,0,2012,Italian
Rodrigo Palacio,ar ARG,FW,Inter,1982,26,20,1973,12,5,0,0,3,0,0.55,0.23,0.78,0.55,2012,Italian
Simone Pasa,it ITA,"DF,MF",Inter,1994,4,2,226,0,0,0,0,0,0,0,0,0,0,2012,Italian
Alexandre Pato,br BRA,FW,Milan,1989,4,3,207,0,1,0,1,0,0,0,0.43,0.43,0,2012,Italian
Giampaolo Pazzini,it ITA,FW,Milan,1984,30,15,1633,15,3,3,3,7,0,0.83,0.17,0.99,0.66,2012,Italian
Federico Peluso,it ITA,DF,Juventus,1984,12,7,701,0,0,0,0,5,0,0,0,0,0,2012,Italian
Simone Pepe,it ITA,"FW,MF",Juventus,1983,1,0,22,0,0,0,0,0,0,0,0,0,0,2012,Italian
Álvaro Pereira,uy URU,"DF,MF",Inter,1985,28,22,2136,1,4,0,0,9,0,0.04,0.17,0.21,0.04,2012,Italian
Simone Perrotta,it ITA,MF,Roma,1977,16,5,584,2,0,0,0,0,0,0.31,0,0.31,0.31,2012,Italian
Iván Piris,py PAR,DF,Roma,1989,29,28,2405,0,3,0,0,5,0,0,0.11,0.11,0,2012,Italian
Andrea Pirlo,it ITA,MF,Juventus,1979,32,32,2857,5,7,0,1,8,0,0.16,0.22,0.38,0.16,2012,Italian
Miralem Pjani?,ba BIH,MF,Roma,1990,27,20,1706,3,6,0,0,7,1,0.16,0.32,0.47,0.16,2012,Italian
Paul Pogba,fr FRA,MF,Juventus,1993,27,18,1741,5,0,0,0,1,1,0.26,0,0.26,0.26,2012,Italian
Fabio Quagliarella,it ITA,FW,Juventus,1983,27,13,1156,9,4,0,0,0,0,0.7,0.31,1.01,0.7,2012,Italian
Andrea Ranocchia,it ITA,DF,Inter,1988,32,32,2788,2,1,0,0,12,0,0.06,0.03,0.1,0.06,2012,Italian
Robinho,br BRA,"FW,MF",Milan,1984,23,11,1021,2,5,1,1,0,0,0.18,0.44,0.62,0.09,2012,Italian
Tommaso Rocchi,it ITA,"FW,MF",Inter,1977,13,8,730,3,0,0,0,1,0,0.37,0,0.37,0.37,2012,Italian
Éric Abidal,fr FRA,DF,Barcelona,1979,5,2,187,0,0,0,0,0,0,0,0,0,0,2012,Spanish
Antonio Adán,es ESP,GK,Real Madrid,1987,3,3,186,0,0,0,0,0,1,0,0,0,0,2012,Spanish
Adriano,br BRA,"DF,MF",Barcelona,1984,23,18,1428,5,1,0,0,3,0,0.32,0.06,0.38,0.32,2012,Spanish
Jordi Alba,es ESP,DF,Barcelona,1989,29,27,2497,2,5,0,0,3,0,0.07,0.18,0.25,0.07,2012,Spanish
Raúl Albiol,es ESP,DF,Real Madrid,1985,18,14,1380,1,0,0,0,6,0,0.07,0,0.07,0.07,2012,Spanish
Thiago Alcántara,es ESP,MF,Barcelona,1991,27,15,1415,2,4,0,0,4,0,0.13,0.25,0.38,0.13,2012,Spanish
Xabi Alonso,es ESP,MF,Real Madrid,1981,28,22,2149,0,5,0,1,11,0,0,0.21,0.21,0,2012,Spanish
Dani Alves,br BRA,"DF,MF",Barcelona,1983,30,26,2265,0,6,0,0,2,0,0,0.24,0.24,0,2012,Spanish
José Antonio Reyes,es ESP,MF,Sevilla,1983,26,20,1646,4,6,0,0,2,1,0.22,0.33,0.55,0.22,2012,Spanish
Dani Aquino,es ESP,"FW,MF",Atlético Madrid,1990,1,0,3,0,0,0,0,0,0,0,0,0,0,2012,Spanish
Álvaro Arbeloa,es ESP,DF,Real Madrid,1983,26,25,2070,0,2,0,0,7,0,0,0.09,0.09,0,2012,Spanish
Sergio Asenjo,es ESP,GK,Atlético Madrid,1989,1,1,90,0,0,0,0,0,0,0,0,0,0,2012,Spanish
Marc Bartra,es ESP,DF,Barcelona,1991,8,3,400,0,0,0,0,1,0,0,0,0,0,2012,Spanish
Emre Belözo?lu,tr TUR,MF,Atlético Madrid,1980,7,4,266,0,1,0,0,1,0,0,0.34,0.34,0,2012,Spanish
Karim Benzema,fr FRA,FW,Real Madrid,1987,30,19,1770,11,12,0,0,0,0,0.56,0.61,1.17,0.56,2012,Spanish
Beto,pt POR,GK,Sevilla,1982,14,14,1260,0,0,0,0,0,0,0,0,0,0,2012,Spanish
Alberto Botía,es ESP,DF,Sevilla,1989,18,14,1350,1,0,0,0,11,0,0.07,0,0.07,0.07,2012,Spanish
Sergio Busquets,es ESP,MF,Barcelona,1988,31,25,2250,1,2,0,0,9,0,0.04,0.08,0.12,0.04,2012,Spanish
Cala,es ESP,DF,Sevilla,1989,10,8,723,0,0,0,0,4,0,0,0,0,0,2012,Spanish
José Callejón,es ESP,"FW,MF",Real Madrid,1987,30,15,1402,3,3,0,0,1,0,0.19,0.19,0.39,0.19,2012,Spanish
José Campaña,es ESP,MF,Sevilla,1993,5,3,184,0,0,0,0,2,0,0,0,0,0,2012,Spanish
Ricardo Carvalho,pt POR,DF,Real Madrid,1978,9,9,810,0,1,0,0,2,0,0,0.11,0.11,0,2012,Spanish
Casemiro,br BRA,MF,Real Madrid,1992,1,1,90,0,0,0,0,0,0,0,0,0,0,2012,Spanish
Iker Casillas,es ESP,GK,Real Madrid,1981,19,18,1703,0,0,0,0,1,0,0,0,0,0,2012,Spanish
Cicinho,br BRA,DF,Sevilla,1986,27,19,1727,1,1,0,0,4,0,0.05,0.05,0.1,0.05,2012,Spanish
Domingo Cisma,es ESP,DF,Atlético Madrid,1982,2,2,164,0,0,0,0,1,0,0,0,0,0,2012,Spanish
Fábio Coentrão,pt POR,DF,Real Madrid,1988,16,16,1375,1,1,0,0,2,0,0.07,0.07,0.13,0.07,2012,Spanish
Coke,es ESP,DF,Sevilla,1987,21,19,1538,3,4,0,0,5,1,0.18,0.23,0.41,0.18,2012,Spanish
Diego Costa,es ESP,FW,Atlético Madrid,1988,31,24,2035,10,7,0,0,12,0,0.44,0.31,0.75,0.44,2012,Spanish
Thibaut Courtois,be BEL,GK,Atlético Madrid,1992,37,37,3330,0,0,0,0,2,0,0,0,0,0,2012,Spanish
Julián Cuesta,es ESP,GK,Sevilla,1991,1,1,90,0,0,0,0,0,0,0,0,0,0,2012,Spanish
Manu del Moral,es ESP,FW,Sevilla,1984,22,7,794,1,1,0,0,2,0,0.11,0.11,0.23,0.11,2012,Spanish
Gerard Deulofeu,es ESP,"FW,MF",Barcelona,1994,1,0,27,0,0,0,0,0,0,0,0,0,0,2012,Spanish
Ángel Di María,ar ARG,"FW,MF",Real Madrid,1988,32,22,1964,7,9,0,0,4,1,0.32,0.41,0.73,0.32,2012,Spanish
Lassana Diarra,fr FRA,MF,Real Madrid,1985,2,2,117,0,0,0,0,0,0,0,0,0,0,2012,Spanish
Baba Diawara,sn SEN,FW,Sevilla,1988,19,5,636,0,0,0,0,1,0,0,0,0,0,2012,Spanish
Daniel Díaz,ar ARG,DF,Atlético Madrid,1979,9,7,720,0,0,0,0,2,0,0,0,0,0,2012,Spanish
Jonathan dos Santos,mx MEX,MF,Barcelona,1990,3,0,63,0,0,0,0,0,0,0,0,0,0,2012,Spanish
Michael Essien,gh GHA,"DF,MF",Real Madrid,1982,21,19,1691,2,0,0,0,4,0,0.11,0,0.11,0.11,2012,Spanish
Fabinho,br BRA,"DF,MF",Real Madrid,1993,1,0,16,0,1,0,0,0,0,0,5.63,5.63,0,2012,Spanish
Cesc Fàbregas,es ESP,"FW,MF",Barcelona,1987,32,30,2296,11,12,0,0,7,0,0.43,0.47,0.9,0.43,2012,Spanish
Radamel Falcao,co COL,FW,Atlético Madrid,1986,34,34,2895,28,0,8,8,7,0,0.87,0,0.87,0.62,2012,Spanish
Federico Fazio,ar ARG,DF,Sevilla,1987,26,25,2113,3,0,0,0,5,2,0.13,0,0.13,0.13,2012,Spanish
Gabi,es ESP,MF,Atlético Madrid,1983,35,34,2865,0,2,0,0,11,1,0,0.06,0.06,0,2012,Spanish
Raúl García,es ESP,"FW,MF",Atlético Madrid,1986,30,13,1305,5,3,0,0,4,0,0.34,0.21,0.55,0.34,2012,Spanish
Diego Godín,uy URU,DF,Atlético Madrid,1986,35,35,3104,1,2,0,0,10,1,0.03,0.06,0.09,0.03,2012,Spanish
Javier Hervás,es ESP,MF,Sevilla,1989,9,1,161,0,0,0,0,1,0,0,0,0,0,2012,Spanish
Gonzalo Higuaín,ar ARG,"FW,MF",Real Madrid,1987,28,19,1746,16,5,0,0,4,1,0.82,0.26,1.08,0.82,2012,Spanish
Andrés Iniesta,es ESP,MF,Barcelona,1984,31,24,2091,3,15,0,0,4,0,0.13,0.65,0.77,0.13,2012,Spanish
Emiliano Insúa,ar ARG,DF,Atlético Madrid,1989,3,2,200,0,1,0,0,1,0,0,0.45,0.45,0,2012,Spanish
Jesús,es ESP,GK,Real Madrid,1988,1,1,90,0,0,0,0,0,0,0,0,0,0,2012,Spanish
Juanfran,es ESP,"DF,MF",Atlético Madrid,1985,35,35,3150,1,2,0,0,5,0,0.03,0.06,0.09,0.03,2012,Spanish
Kaká,br BRA,"FW,MF",Real Madrid,1982,19,12,954,3,2,1,1,2,1,0.28,0.19,0.47,0.19,2012,Spanish
Sami Khedira,de GER,MF,Real Madrid,1987,25,19,1747,3,2,0,0,5,0,0.15,0.1,0.26,0.15,2012,Spanish
Koke,es ESP,MF,Atlético Madrid,1992,33,29,2506,3,11,0,0,5,0,0.11,0.4,0.5,0.11,2012,Spanish
Geoffrey Kondogbia,cf CTA,MF,Sevilla,1993,31,23,1904,1,1,0,0,4,0,0.05,0.05,0.09,0.05,2012,Spanish
Diego Llorente,es ESP,DF,Real Madrid,1993,1,0,4,0,0,0,0,0,0,0,0,0,0,2012,Spanish
Adrián López,es ESP,FW,Atlético Madrid,1988,32,15,1505,3,1,0,0,0,0,0.18,0.06,0.24,0.18,2012,Spanish
Diego López,es ESP,GK,Sevilla,1981,8,8,663,0,0,0,0,0,1,0,0,0,0,2012,Spanish
